Query
ATP
Ac
acetyl-CoA
L-arginine
L-asparagine
L-aspartate
CO2
citrate
L-cysteine
glycerone phosphate
beta-D-fructofuranose 6-phosphate
FADH2
"beta-D-fructofuranose 1,6-bisphosphate"
fumarate
D-glyceraldehyde 3-phosphate
L-glutamine
L-glutamate
glycine
L-histidine
L-isoleucine
2-dehydro-3-deoxy-D-gluconate 6-phosphate
"L,L-diaminopimelate"
L-leucine
L-lysine
(S)-malate
L-methionine
NADH
NADPH
ammonia
dioxygen
phosphoenolpyruvate
L-phenylalanine
L-proline
Pyr
L-serine
succinate
succinyl-CoA
L-threonine
L-tryptophan
L-tyrosine
L-valine
3PG
6PG
AKG
Ac_e
CO2_e
E4P
FTHF
G6P
Gluc_e
Glx
ICit
MEETHF
METHF
NH3_e
O2_e
OAC
R5P
Ru5P
S7P
SO4
SO4_e
X5P
Ala
