3pg
6pgc
ac
ac[e]
accoa
akg
ala
arg
asn
asp
ATP
cit
co2
co2[e]
cys
dhap
e4p
f6p
FADH2
fdp
FTHF
fum
g6p
g3p
gln
glu
glcD[e]
glx
gly
his
icit
ile
2ddg6p
leu
LLDAP
lys
mal
MEETHF
met
METHF
NADH
NADPH
NH3
NH3[e]
O2
O2[e]
oaa
pep
phe
pro
pyr
r5p
ru5p
s7p
ser
SO4
SO4[e]
succ
succoa
thr
trp
tyr
val
xu5p
EC2
EI
EII
EIIP
EIP
HPr
HPrP
13dpg
2pg
6pgl
aconC
actp
glu5P
glu5sa
pyr5c
CO2P
CBA
CBP
acglu
acglu5p
acglu5sa
acorn
orn
citr
argsuc
3php
pser
APS
PAPS
acser
SO3
S2
S0
H2S
4pasp
aspsa
homL
phom
23dhdp
thdp
sl2a6o
sl26da
suchms
cystL
hcyst
apyr
alac
23dhmb
3mob
3c3hmp
2ippm
3c2hmp
3c4mop
4mop
2obut
2ahbut
23dhmp
3mop
2dda7p
3dhq
3dhsk
skm
skm5p
3psme
chor
pphn
phpyr
34hpp
anth
pran
2cpr5p
3ig3p
prpp
prbatp
prbamp
prfp
prlp
eig3p
imacp
hisp
histd
histal
acACP
malcoa
malACP
actACP
3haACP
but2eACP
butACP
3ohexACP
3hhexACP
thex2eACP
hexACP
3ooctACP
3hoctACP
toct2eACP
octACP
3odecACP
3hdecACP
tdec2eACP
dcaACP
3oddecACP
3hddecACP
tddec2eACP
ddcaACP
3omrsACP
3hmrsACP
tmrs2eACP
myrsACP
3opalmACP
3hpalmACP
tpalm2eACP
palmACP
cdec3eACP
3ocddec5eACP
3hcddec5eACP
t3c5ddeceACP
cddec5eACP
3ocmrs7eACP
3hcmrs7eACP
t3c7mrseACP
tdeACP
3ocpalm9eACP
3hcpalm9eACP
t3c9palmeACP
hdeACP
3ocvac11eACP
3hcvac11eACP
t3c11vaceACP
octeACP
glyc3p
1hdecg3p
1hdec9eg3p
1odec11eg3p
pa160
pa161
pa181
pgp160
pgp161
pgp181
pg160
pg161
pg181
ps160
ps161
ps181
pe160
pe161
pe181
g1p
adpglc
glycogen
pram
gar
fgam
fpram
air
5caiz
5aizc
25aics
fprica
imp
dcamp
xmp
gmp
cbasp
dhor
orot
orot5p
ump
udp
utp
ctp
cdp
cmp
gdp
dadp
dgdp
dcdp
dudp
dump
dtmp
dgmp
dcmp
damp
Madp
aicar
amp
gam6p
gam1p
acgam1p
uacgam
uaccg
uamr
peptidoglycan
